{'score': 9060, 'nbCoups': 401, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 57, 27, 630722)}
{'score': 40, 'nbCoups': 10, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 58, 24, 649324)}
{'score': 8220, 'nbCoups': 362, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 58, 31, 837397)}
{'score': 4860, 'nbCoups': 222, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 58, 41, 14484)}
{'score': 1980, 'nbCoups': 96, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 58, 43, 551805)}
{'score': 1600, 'nbCoups': 83, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 58, 45, 359817)}
{'score': 21600, 'nbCoups': 939, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 58, 48, 809501)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 58, 52, 759245)}
{'score': 37560, 'nbCoups': 1618, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 59, 7, 759299)}
{'score': 5360, 'nbCoups': 240, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 59, 10, 22531)}
{'score': 8580, 'nbCoups': 371, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 59, 12, 775844)}
{'score': 3460, 'nbCoups': 160, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 59, 15, 31738)}
{'score': 15000, 'nbCoups': 656, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 23, 18, 59, 18, 255548)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 24, 6, 59, 59, 421569)}
{'score': 0, 'nbCoups': 6, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 7, 38, 45, 598328)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 7, 39, 7, 105371)}
{'score': 320, 'nbCoups': 19, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 7, 39, 49, 248150)}
{'score': 1540, 'nbCoups': 79, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 7, 40, 9, 325744)}
{'score': 5840, 'nbCoups': 263, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 7, 40, 13, 412352)}
{'score': 11660, 'nbCoups': 511, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 7, 40, 19, 582874)}
{'score': 2540, 'nbCoups': 122, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 7, 40, 35, 252050)}
{'score': 29140, 'nbCoups': 1252, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 7, 40, 47, 67104)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 1, 22, 339723)}
{'score': 120, 'nbCoups': 14, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 2, 48, 782409)}
{'score': 40, 'nbCoups': 9, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 3, 43, 269382)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 3, 57, 46977)}
{'score': 0, 'nbCoups': 6, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 4, 11, 33737)}
{'score': 240, 'nbCoups': 16, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 4, 37, 285673)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 25, 36, 627098)}
{'score': 0, 'nbCoups': 4, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 27, 50, 795938)}
{'score': 0, 'nbCoups': 6, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 30, 35, 969336)}
{'score': 0, 'nbCoups': 5, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 30, 43, 722037)}
{'score': 40, 'nbCoups': 9, 'nbCoupsMax': 10000, 'date': datetime.datetime(2026, 5, 25, 12, 31, 4, 28677)}
